Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU
Nordic;Melitta;;;;6626280;20418;GLASKANNOR ;GLASKANNA SINGLE 5, SVART;GLASKANDE SINGLE 5, SORT;4,01E+12;4,01E+12;4,01E+12;;1;151;151;132;0,33;1;;151;151;132;0,4;24;264;942;;;107,1;107,1;107,1;107,1
Nordic;Melitta;;;;6644598;20518;KAFFEBRYGGARE ;LOOK THERM D.L SST/SVART;RJ ENJOY TOP HVID;4,01E+12;4,01E+12;4,01E+12; ;1;255;270;388;3,345;1;3;270;255;388;3,345;12;24;990;;;715;715;715;715
Nordic;Melitta;X;w 47 2016;;6644659;20528;GLASKANNOR ;GLASKANNA LOOK III / IV, SVART/SST;GLASKANDE LOOK III / IV, SORT/SST;4,01E+12;4,01E+12;4,01E+12;;1;175;190;138;0,44;1;;175;190;138;0,44;24;144;973;;;144;144;144;144
Nordic;Melitta;;;;6644666;20529;THERMKANNOR ;TERMOKANNA LOOK DE LUXE SST III, SVART;TERMOKANDE LOOK DE LUXE SST III, SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;;180;180;188;0,4;24;96;1025;;;;;300;300
Nordic;Melitta;;;;6645007;20535;GLASKANNOR ;GLASKANNA SINGLE 5, SVART SST;GLASKANDE SINGLE 5, SORT SST;4,01E+12;4,01E+12;4,01E+12;;1;151;151;132;0,325;1;;151;151;132;0,325;24;264;1452;;;119;119;119;119
Nordic;Melitta;;;;6650711;20604;THERMKANNOR ;TERMOKANNA SINGLE 5, SVART SST;TERMOKANDE SINGLE 5, SORT SST;4,01E+12;4,01E+12;4,01E+12;;1;160;160;175;0,603;1;6;151;151;132;0,325;24;264;1452;;;0;0;250;250
Nordic;Melitta;C;;6678739;6763576;20748;KAFFEBRYGGARE ;AROMA SIGNATURE;AROMA SIGNATURE;4,01E+12;4,01E+12;4,01E+12;1007-01;1;203;373;377;3,4;1;3;388;624;397;10,3;9;18;939;;;910;910;910;910
Nordic;Melitta;C;;6678722;6763578;20749;KAFFEBRYGGARE ;AROMA SIGNATURE DE LUXE ;AROMA SIGNATURE DE LUXE ;4,01E+12;4,01E+12;4,01E+12;1007-02;1;203;373;377;3,4;1;3;203;373;377;3,4;9;18;939;;;980;980;980;980
Nordic;Melitta;;;;6728168;20757;KAFFEBRYGGARE ;EXCELLENT STEEL A.S.O;EXCELLENT STEEL A.S.O;4,01E+12;4,01E+12;4,01E+12;M510 ST;1;222;336;356;3,05;1;4;363;635;340;11,5;8;16;870;;;727;;727;727
Nordic;Melitta;;;;6728120;20759;KAFFEBRYGGARE ;EXCELLENT GRANDE, SVART A.S.O;EXCELLENT GRANDE, SORT A.S.O;4,01E+12;4,01E+12;4,01E+12;M520BK;1;173;309;335;2,6;1;4;363;635;355;11,9;12;36;1210;;;574;574;574;574
