Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU;NET_III;REK_UT_PRIS;Promo_pris;ICA;Coop;B-dahl;Axfood;EEL ;Elkjöp;Mediamarkt;Expert;DK;Transferpris 2013 per PC (materialnr);Kalkylerat lagervärde Klippan 2013 per PC (EAN);;CU   ;TU;VEJLEDE_PRIS;Promo_pris;Miljö_märkt;C_ Code
Nordic;Melitta;;;;6644666;20529;THERMKANNOR ;TERMOKANNA LOOK DE LUXE SST III, SVART;TERMOKANDE LOOK DE LUXE SST III, SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;;180;180;188;0,4;24;96;1025;;;;;300;300;;;;;;;;;;;;;;;0;;;;;;96170000
Nordic;Melitta;;;;6645007;20535;GLASKANNOR ;GLASKANNA SINGLE 5, SVART SST;GLASKANDE SINGLE 5, SORT SST;4,01E+12;4,01E+12;4,01E+12;;1;151;151;132;0,325;1;;151;151;132;0,325;24;264;1452;;;119;119;119;119;81,7;199;;;;;;;;;;;29,24;;-29,24;;;;;;70134200
Nordic;Melitta;;;;6650711;20604;THERMKANNOR ;TERMOKANNA SINGLE 5, SVART SST;TERMOKANDE SINGLE 5, SORT SST;4,01E+12;4,01E+12;4,01E+12;;1;160;160;175;0,603;1;6;151;151;132;0,325;24;264;1452;;;0;0;250;250;;;;;;;;;;;;;;;0;;;;;;96170000
Nordic;Melitta;C;;6678739;6763576;20748;KAFFEBRYGGARE ;AROMA SIGNATURE;AROMA SIGNATURE;4,01E+12;4,01E+12;4,01E+12;1007-01;1;203;373;377;3,4;1;3;388;624;397;10,3;9;18;939;;;910;910;910;910;528;1290;1090;;;;;;X;1197202;X;;309,08;331,88;22,8;710;;1399;;;85167100
Nordic;Melitta;C;;6678722;6763578;20749;KAFFEBRYGGARE ;AROMA SIGNATURE DE LUXE ;AROMA SIGNATURE DE LUXE ;4,01E+12;4,01E+12;4,01E+12;1007-02;1;203;373;377;3,4;1;3;203;373;377;3,4;9;18;939;;;980;980;980;980;590;1490;1290;;;;;301215;X;1239565;X;;310,89;333,71;22,82;740;;1499;;;85167100
Nordic;Melitta;;;;6728168;20757;KAFFEBRYGGARE ;EXCELLENT STEEL A.S.O;EXCELLENT STEEL A.S.O;4,01E+12;4,01E+12;4,01E+12;M510 ST;1;222;336;356;3,05;1;4;363;635;340;11,5;8;16;870;;;727;;727;727;395,6;1095;995;;;;;104585;X;1010324;X;;;;;UDG;;;;;85167100
Nordic;Melitta;;;;6728120;20759;KAFFEBRYGGARE ;EXCELLENT GRANDE, SVART A.S.O;EXCELLENT GRANDE, SORT A.S.O;4,01E+12;4,01E+12;4,01E+12;M520BK;1;173;309;335;2,6;1;4;363;635;355;11,9;12;36;1210;;;574;574;574;574;301;649;549;;;;;;;;;;;;;348;;699;;;85167100
Nordic;Melitta;;;;6728137;20760;KAFFEBRYGGARE ;EXCELLENT GRANDE, VIT A.S.O;EXCELLENT GRANDE, HVID A.S.O;4,01E+12;4,01E+12;4,01E+12;M520 WH;1;173;309;335;2,6;1;4;363;635;355;11,9;12;36;1210;;;574;574;574;574;301;649;549;;;;;;;X;X;;;;;348;;699;;;85167100
Nordic;Melitta;;;;6728151;20762;KAFFEBRYGGARE ;EXCELLENT 3.0, SVART A.S.O;EXCELLENT 3.0, SORT A.S.O;4,01E+12;4,01E+12;4,01E+12;M511 BK;1;173;309;318;2,5;1;4;363;635;340;11,5;12;36;1165;;;495;495;495;495;288;795;695;;;8818049;;301147;X;X;X;;;;;UDG;;;;;85167100
Nordic;Melitta;;;;6679279;20809;KAFFEMASKINER;CAFFEO BARISTA T, SILVER,  F730-101 (Chains, Hybrid, Expert);CAFFEO BARISTA T, SILVER,  F730-101 (Chains, Hybrid, Expert);4,01E+12;4,01E+12;4,01E+12;E73/0-101;1;571;387;419;13,451;1;;571;387;419;13,451;4;8;983;;;7557;7557;7557;7557;4723;9990;8990;;;;;;;1229254;;;2752,24;;-2752,24;6160;6160;8990;7490;;85167100
Nordic;Melitta;;;;6679293;20810;KAFFEMASKINER;CAFFEO BARISTA TS, SVART (BG, Bygg, Home);CAFFEO BARISTA TS, SORT (BG, Bygg, Home);4,01E+12;4,01E+12;4,01E+12;F75/0-102;1;571;387;419;13,792;1;;571;387;419;13,792;4;8;983;;;8870;8870;8870;8870;5902;13990;10990;;;;;;;1294458;;;2887,68;;-2887,68;8000;;12990;;;85167100
Nordic;Melitta;;;;6679316;20811;KAFFEMASKINER;CAFFEO BARISTA TS, SILVER  (BG, Bygg, Home);CAFFEO BARISTA TS, SILVER  (BG, Bygg, Home);4,01E+12;4,01E+12;4,01E+12;F75/0-101;1;571;387;419;13,792;1;;571;387;419;13,792;4;8;983;;;8870;8870;8870;8870;5902;13990;10990;;;;;;;1294626;;;2905,74;;-2905,74;8000;;12990;;;85167100
Nordic;Melitta;;;;6679378;20812;KAFFEMASKINER;CAFFEO SOLO & PERFECT MILK SVART;CAFFEO SOLO & PERFECT MILK SORT;4,01E+12;4,01E+12;4,01E+12;E957-101;1;380;300;545;9,858;1;;300;380;545;9,858;8;16;1050;;;3450;3450;3450;3450;;4990;3990;;;;;;;X;;;1612,57;1623,86;11,29000007;3300;;5995;;;85167100
Nordic;Melitta;;;;6680305;20813;KAFFEMASKINER;CAFFEO SOLO & PERFECT MILK SILVER/SVART;CAFFEO SOLO & PERFECT MILK SILVER/SORT;4,01E+12;4,01E+12;4,01E+12;E957-102;1;380;300;545;9,858;1;;300;380;545;9,858;8;16;1050;;;3450;3450;3450;3450;;4990;3990;;;;;104946;;1197206;;;1628,4;1639,69;11,29000002;3300;;5995;;;85167100
